title,author,publisher,pubdate,detail_url,img_url,topic,price,sale_price,rating,desc,판매지수,pubdate,author
혼모노,<시와 물질> 양장노트 + <나쁘게 눈부시기> (오늘의 한국문학 도서 2종 이상 구매) [국내도서] 혼모노 Choice 성해나 (지은이),창비,"2025년 3월 18,000 원 → 16,200원 ( 10% 할인),  마일리지 900 원 9.5 ( 63 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361016676,,인공지능,,16200.0,9.5,,,2025-03-01,<시와 물질> 양장노트 + <나쁘게 눈부시기> (오늘의 한국문학 도서 2종 이상 구매) [국내도서] 혼모노 Choice 성해나 (지은이)
"첫 여름, 완주","대단한 책 6월 + 패브릭 독서대 (대상도서 포함 국내도서 3만원 이상 구매 시) [국내도서] 첫 여름, 완주 ㅣ 듣는 소설 1 Choice 김금희 (지은이)",무제,"2025년 5월 17,000 원 → 15,300원 ( 10% 할인),  마일리지 850 원 9.5 ( 52 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362755853,,인공지능,,15300.0,9.5,,,2025-05-01,"대단한 책 6월 + 패브릭 독서대 (대상도서 포함 국내도서 3만원 이상 구매 시) [국내도서] 첫 여름, 완주 ㅣ 듣는 소설 1 Choice 김금희 (지은이)"
안녕이라 그랬어,초판 한정 사인인쇄 양장본 + 안녕 키링 + 어텐션북 + 알라딘 북커버(소설/시 2만원 이상) [국내도서] 안녕이라 그랬어 Choice 김애란 (지은이),문학동네,"2025년 6월 16,800 원 → 15,120원 ( 10% 할인),  마일리지 840 원 9.6 ( 16 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365665217,,인공지능,,15120.0,9.6,,,2025-06-01,초판 한정 사인인쇄 양장본 + 안녕 키링 + 어텐션북 + 알라딘 북커버(소설/시 2만원 이상) [국내도서] 안녕이라 그랬어 Choice 김애란 (지은이)
청춘의 독서 (특별증보판),유시민 낭독 음성이 담긴 NFC 아크릴 키링(<청춘의 독서> 포함 국내도서 3만원 이상) [국내도서] 청춘의 독서 (특별증보판) - 세상을 바꾼 위험하고 위대한 생각들 유시민 (지은이),웅진지식하우스,"2025년 4월 18,900 원 → 17,010원 ( 10% 할인),  마일리지 940 원 9.1 ( 405 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362863268,,인공지능,,17010.0,9.1,,,2025-04-01,유시민 낭독 음성이 담긴 NFC 아크릴 키링(<청춘의 독서> 포함 국내도서 3만원 이상) [국내도서] 청춘의 독서 (특별증보판) - 세상을 바꾼 위험하고 위대한 생각들 유시민 (지은이)
소설 보다 : 여름 2025,"<시와 물질> 양장노트 + <나쁘게 눈부시기> (오늘의 한국문학 도서 2종 이상 구매) [국내도서] 소설 보다 : 여름 2025 ㅣ 소설 보다 Choice 김지연 , 이서아 , 함윤이 (지은이)",문학과지성사,"2025년 6월 5,500 원 → 4,950원 ( 10% 할인),  마일리지 270 원 8.0 ( 2 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365719368,,인공지능,,4950.0,8.0,,,2025-06-01,"<시와 물질> 양장노트 + <나쁘게 눈부시기> (오늘의 한국문학 도서 2종 이상 구매) [국내도서] 소설 보다 : 여름 2025 ㅣ 소설 보다 Choice 김지연 , 이서아 , 함윤이 (지은이)"
단 한 번의 삶,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 단 한 번의 삶 Choice 김영하 (지은이)",복복서가,"2025년 4월 16,800 원 → 15,120원 ( 10% 할인),  마일리지 840 원 9.0 ( 75 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361141292,,인공지능,,15120.0,9.0,,,2025-04-01,"화제의 책 + 알라딘 굿즈 (이벤트 도서 포함, 국내도서 3만5천원 이상) [국내도서] 단 한 번의 삶 Choice 김영하 (지은이)"
소년이 온다,대한민국 21대 대통령 이재명 [국내도서] 소년이 온다 - 2024 노벨문학상 수상작가 Choice 한강 (지은이),창비,"2014년 5월 15,000 원 → 13,500원 ( 10% 할인),  마일리지 750 원 9.6 ( 998 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=40869703,,인공지능,,13500.0,9.6,,,2014-05-01,대한민국 21대 대통령 이재명 [국내도서] 소년이 온다 - 2024 노벨문학상 수상작가 Choice 한강 (지은이)
스파이 패밀리 15,"초판한정, 띠지 + 아크릴 참 키링 (대상도서 포함 만화 1만 5천원 이상 구매 시) [국내도서] 스파이 패밀리 15 엔도 타츠야 (지은이)",학산문화사(만화),"2025년 6월 6,000 원 → 5,400원 ( 10% 할인),  마일리지 300 원 10.0 ( 2 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366123624,,인공지능,,5400.0,10.0,,,2025-06-01,"초판한정, 띠지 + 아크릴 참 키링 (대상도서 포함 만화 1만 5천원 이상 구매 시) [국내도서] 스파이 패밀리 15 엔도 타츠야 (지은이)"
미술관에 간 할미,"한정수량, 직접 쓴 손 편지(삽지) + 만년 스탬프 (마일리지 차감) [국내도서] 미술관에 간 할미 - 짧게 읽고 오래 남는 모두의 명화수업 할미 (지은이)",더퀘스트,"2025년 6월 21,000 원 → 18,900원 ( 10% 할인),  마일리지 1,050 원 9.4 ( 11 )",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365385112,,인공지능,,18900.0,9.4,,,2025-06-01,"한정수량, 직접 쓴 손 편지(삽지) + 만년 스탬프 (마일리지 차감) [국내도서] 미술관에 간 할미 - 짧게 읽고 오래 남는 모두의 명화수업 할미 (지은이)"
괴수 8호 RELAX 2,"일러스트 카드 + 4컷 포토 카드 + DIY 말풍선 카드 (래핑)
 + 아크릴 DIY 키링 (만화 1만 5천원 이상) [국내도서] 괴수 8호 RELAX 2 마츠모토 나오야 (원작), Kizuku Watanabe (그림), 유유리 (옮긴이)",서울미디어코믹스(서울문화사),"2025년 6월 6,000 원 → 5,400원 ( 10% 할인),  마일리지 300 원 세일즈포인트 : 51,710 부록 : 일러스트 카드 + 4컷 포토 카드 + DIY 말풍선 카드 (래핑)",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366172978,,인공지능,,5400.0,,,,2025-06-01,"일러스트 카드 + 4컷 포토 카드 + DIY 말풍선 카드 (래핑)
 + 아크릴 DIY 키링 (만화 1만 5천원 이상) [국내도서] 괴수 8호 RELAX 2 마츠모토 나오야 (원작), Kizuku Watanabe (그림), 유유리 (옮긴이)"
